"Date","Transaction","Name","Memo","Amount"
"2024-05-15","CREDIT","DEPOSIT","Download from usbank.com.","425.00"
"2024-05-22","DEBIT","CUSTOMER WITHDRAWAL","Download from usbank.com.","-150.00"
"2024-05-23","CREDIT","ATM DEPOSIT USB STATELINE KISTATELINE   NVUS1","Download from usbank.com.0004","104.00"
"2024-05-24","DEBIT","ATM WITHDRAWAL 4035 LAKE TAHOE SOUTH LAKE TCAUS1","Download from usbank.com.0004","-15.00"
"2024-05-24","DEBIT","ATM FEE 052424PLUSTERM4035 LAKE TAHOE SOUTH LAKE TCAUS1","Download from usbank.com.","-2.50"
"2024-05-24","CREDIT","REVERSED ATM FEE 052424PLUSTERM4035 LAKE TAHOE SOUTH LAKE TCAUS1","Download from usbank.com.","2.50"
"2024-05-28","DEBIT","DEBIT PURCHASE -VISA MELLOW MOUNTAIN SOUTH LAKE TCA","Download from usbank.com.0004","-49.16"
"2024-05-28","DEBIT","DEBIT PURCHASE -VISA DOTTY'S 71      STATELINE   NV","Download from usbank.com.0004","-8.51"
"2024-05-28","DEBIT","DEBIT PURCHASE -VISA MELLOW MOUNTAIN SOUTH LAKE TCA","Download from usbank.com.0004","-24.50"
"2024-05-28","DEBIT","DEBIT PURCHASE -VISA CVS/PHARMACY #07STATELINE   NV","Download from usbank.com.0004","-1.79"
"2024-05-28","DEBIT","DEBIT PURCHASE -VISA MELLOW MOUNTAIN SOUTH LAKE TCA","Download from usbank.com.0004","-54.88"
"2024-05-28","DEBIT","DEBIT PURCHASE -VISA SoundCloud Month347-9866607 CA","Download from usbank.com.0004","-4.99"
"2024-05-28","DEBIT","DEBIT PURCHASE -VISA RED HUT CAFE    STATELINE   NV","Download from usbank.com.0004","-8.04"
"2024-05-28","DEBIT","ATM WITHDRAWAL 4035 LAKE TAHOE SOUTH LAKE TCAUS1","Download from usbank.com.0004","-15.00"
"2024-05-28","DEBIT","ATM FEE 052724PLUSTERM4035 LAKE TAHOE SOUTH LAKE TCAUS1","Download from usbank.com.","-2.50"
"2024-05-28","CREDIT","REVERSED ATM FEE 052724PLUSTERM4035 LAKE TAHOE SOUTH LAKE TCAUS1","Download from usbank.com.","2.50"
"2024-05-29","DEBIT","DEBIT PURCHASE -VISA MELLOW MOUNTAIN SOUTH LAKE TCA","Download from usbank.com.0004","-33.48"
"2024-05-29","DEBIT","DEBIT PURCHASE -VISA DOTTY'S 71      STATELINE   NV","Download from usbank.com.0004","-8.51"
"2024-05-29","DEBIT","DEBIT PURCHASE -VISA CVS/PHARMACY #07STATELINE   NV","Download from usbank.com.0004","-2.02"
"2024-05-29","DEBIT","DEBIT PURCHASE -VISA RED HUT CAFE    STATELINE   NV","Download from usbank.com.0004","-8.04"
"2024-05-30","DEBIT","DEBIT PURCHASE -VISA MELLOW MOUNTAIN SOUTH LAKE TCA","Download from usbank.com.0004","-33.48"
"2024-05-30","DEBIT","DEBIT PURCHASE -VISA MELLOW MOUNTAIN SOUTH LAKE TCA","Download from usbank.com.0004","-1.00"
"2024-05-30","DEBIT","DEBIT PURCHASE -VISA RED HUT CAFE    STATELINE   NV","Download from usbank.com.0004","-8.04"
